Measured Distance,x error,y error,z error
144.3,-0.3,8.1,10.5
161.5,-0.1,8.25,5
204,-1.53,2.1,3.8
214.77,2.3,6,3.23
220.6,0.3,0,5.1
267.8,0.3,1,-1.4
276.86,-3.5,1.2,-6.26
276.9,-5.8,0.9,-6.7
292.2,2.1,-0.6,-8.8
308.3,-3,-2.2,-5.6
317.3,0.8,-0.1,-14.3
320.45,-5.79,-1.7,-10.45
322.5,-5.2,-2.2,-10.7
330.2,-1.4,-1.2,-17
344.2,2.7,3.2,-18.5
355.4,-2.5,-4.7,-18.2
359.4,7.7,-5.5,-28.7
367.5,0.44,-3.9,-21.3
409,4,-4.6,-33
409.01,-3.2,-5.9,-35.51
419.6,-2.6,-2.6,-39.4
474.6,-3.46,-13,-53.4
488.8,7.4,-7.4,-48.7
496.3,0.6,-10.8,-64.6
496.3,5.1,-9,-61.5
503.97,-4.4,-10.5,-58.97
